Fas	Fas	NN	B-NP	B-protein	Mention 3	
skeletal	skeletal	JJ	B-NP	O	
muscle	muscle	NN	I-NP	O	
,	,	,	O	O	
myocardiocytes	myocardiocyte	NNS	B-NP	B-cell_type	
,	,	,	O	O	
pituitary	pituitary	JJ	B-NP	O	
gland	gland	NN	I-NP	O	
,	,	,	O	O	
parathyroid	parathyroid	JJ	B-NP	O	
gland	gland	NN	I-NP	O	
,	,	,	O	O	
pancreatic	pancreatic	JJ	B-NP	B-cell_type	
islets	islet	NNS	I-NP	I-cell_type	
,	,	,	O	O	
hepatocytes	hepatocyte	NNS	B-NP	B-cell_type	
,	,	,	O	O	
testicular	testicular	JJ	B-NP	B-cell_type	
germ	germ	NN	I-NP	I-cell_type	
cells	cell	NNS	I-NP	I-cell_type	
,	,	,	O	O	
prostatic	prostatic	JJ	B-NP	O	
glands	gland	NNS	I-NP	O	
,	,	,	O	O	
neurons	neuron	NNS	B-NP	O	
,	,	,	O	O	
epithelium	epithelium	NN	B-NP	O	
of	of	IN	B-PP	O	
fallopian	fallopian	JJ	B-NP	O	
tube	tube	NN	I-NP	O	
,	,	,	O	O	
endometrial	endometrial	JJ	B-NP	O	
glands	gland	NNS	I-NP	O	
,	,	,	O	O	
trophoblasts	trophoblast	NNS	B-NP	O	
,	,	,	O	O	
bronchial	bronchial	JJ	B-NP	B-cell_type	
epithelial	epithelial	JJ	I-NP	I-cell_type	
cells	cell	NNS	I-NP	I-cell_type	
,	,	,	O	O	
and	and	CC	O	O	
some	some	DT	B-NP	O	
types	type	NNS	I-NP	O	
of	of	IN	B-PP	O	
gastrointestinal	gastrointestinal	JJ	B-NP	B-cell_type	
epithelial	epithelial	JJ	I-NP	I-cell_type	
cells	cell	NNS	I-NP	I-cell_type	
.	.	.	O	O	
In	In	IN	B-PP	O	
123	123	CD	B-NP	O	
(	(	(	O	O	
78	78	CD	B-NP	O	
%	%	NN	I-NP	O	
)	)	)	O	O	
of	of	IN	B-PP	O	
158	158	CD	B-NP	O	
cancers	cancer	NNS	I-NP	O	
of	of	IN	B-PP	O	
various	various	JJ	B-NP	O	
origins	origin	NNS	I-NP	O	
,	,	,	O	O	
including	include	VBG	B-PP	O	
breast	breast	NN	B-NP	O	
carcinomas	carcinoma	NNS	I-NP	O	
,	,	,	O	O	
stomach	stomach	NN	B-NP	O	
carcinomas	carcinoma	NNS	I-NP	O	
,	,	,	O	O	
colon	colon	NN	B-NP	O	
carcinomas	carcinoma	NNS	I-NP	O	
,	,	,	O	O	
lung	lung	NN	B-NP	O	
carcinomas	carcinoma	NNS	I-NP	O	
and	and	CC	O	O	
several	several	JJ	B-NP	O	
types	type	NNS	I-NP	O	
of	of	IN	B-PP	O	
sarcomas	sarcoma	NNS	B-NP	O	
,	,	,	O	O	
variable	variable	JJ	B-NP	O	
intensities	intensity	NNS	I-NP	O	
of	of	IN	B-PP	O	
FAP-1	FAP-1	NN	B-NP	B-protein	
expression	expression	NN	I-NP	O	
were	be	VBD	B-VP	O	
evident	evident	JJ	B-ADJP	O	
.	.	.	O	O	
Taken	Take	VBN	B-VP	O	
together	together	RB	B-ADVP	O	
,	,	,	O	O	
these	these	DT	B-NP	O	
findings	finding	NNS	I-NP	O	
demonstrated	demonstrate	VBD	B-VP	O	
that	that	IN	B-SBAR	O	
FAP-1	FAP-1	NN	B-NP	B-protein	
is	be	VBZ	B-VP	O	
widely	widely	RB	I-VP	O	
expressed	express	VBN	I-VP	O	
in	in	IN	B-PP	O	
normal	normal	JJ	B-NP	O	
human	human	JJ	I-NP	O	
tissues	tissue	NNS	I-NP	O	
and	and	CC	O	O	
partly	partly	RB	B-VP	O	
overlapped	overlap	VBN	I-VP	O	
with	with	IN	B-PP	O	
Fas	Fas	NN	B-NP	B-protein	
expression	expression	NN	I-NP	O	
described	describe	VBN	B-VP	O	
in	in	IN	B-PP	O	
earlier	early	JJR	B-NP	O	
reports	report	NNS	I-NP	O	
,	,	,	O	O	
suggesting	suggest	VBG	B-VP	O	
that	that	IN	B-SBAR	O	
FAP-1	FAP-1	NN	B-NP	B-protein	
may	may	MD	B-VP	O	
have	have	VB	I-VP	O	
an	an	DT	B-NP	O	
important	important	JJ	I-NP	O	
role	role	NN	I-NP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
regulation	regulation	NN	I-NP	O	
of	of	IN	B-PP	O	
apoptosis	apoptosis	NN	B-NP	O	
in	in	FW	B-ADVP	O	
vivo	vivo	FW	I-ADVP	O	
.	.	.	O	O	
In	In	IN	B-PP	O	
addition	addition	NN	B-NP	O	
,	,	,	O	O	
FAP-1	FAP-1	NN	B-NP	B-protein	
expression	expression	NN	I-NP	O	
in	in	IN	B-PP	O	
cancers	cancer	NNS	B-NP	O	
suggests	suggest	VBZ	B-VP	O	
that	that	IN	B-SBAR	O	
many	many	JJ	B-NP	O	
cancers	cancer	NNS	I-NP	O	
may	may	MD	B-VP	O	
be	be	VB	I-VP	O	
resistant	resistant	JJ	B-ADJP	O	
to	to	TO	B-PP	O	
Fas-mediated	Fas-mediated	JJ	B-NP	O	
apoptosis	apoptosis	NN	I-NP	O	
through	through	IN	B-PP	O	
the	the	DT	B-NP	O	
action	action	NN	I-NP	O	
of	of	IN	B-PP	O	
FAP-1	FAP-1	NN	B-NP	B-protein	
in	in	FW	B-ADVP	O	
vivo	vivo	FW	I-ADVP	O	
.	.	.	O	O	
Previous	Previous	JJ	B-NP	O	
studies	study	NNS	I-NP	O	
have	have	VBP	B-VP	O	
demonstrated	demonstrate	VBN	I-VP	O	
that	that	IN	B-SBAR	O	
endothelin	endothelin	NN	B-NP	B-protein	Mention 12	Mention 13	
(	(	(	O	I-protein	
ET	ET	NN	B-NP	I-protein	Mention 14	
)	)	)	O	I-protein	
isoforms	isoform	NNS	B-NP	I-protein	
(	(	(	O	O	
ET-1	ET-1	NN	B-NP	B-protein	Mention 15	
,	,	,	O	O	
ET-2	ET-2	NN	B-NP	B-protein	
and	and	CC	O	O	
ET-3	ET-3	NN	B-NP	B-protein	
)	)	)	O	O	
can	can	MD	B-VP	O	
act	act	VB	I-VP	O	
in	in	IN	B-PP	O	
an	an	DT	B-NP	O	
autocrine	autocrine	JJ	I-NP	O	
manner	manner	NN	I-NP	O	
in	in	IN	B-PP	O	
ovarian	ovarian	JJ	B-NP	O	
cancer	cancer	NN	I-NP	O	
while	while	IN	B-SBAR	O	
in	in	IN	B-PP	O	
breast	breast	NN	B-NP	O	
cancer	cancer	NN	I-NP	O	
their	their	PRP$	B-NP	O	Mention 16	
role	role	NN	I-NP	O	
has	have	VBZ	B-VP	O	
been	be	VBN	I-VP	O	
proposed	propose	VBN	I-VP	O	
to	to	TO	I-VP	O	
be	be	VB	I-VP	O	
that	that	DT	B-NP	O	
of	of	IN	B-PP	O	
a	a	DT	B-NP	O	
paracrine	paracrine	JJ	I-NP	B-protein	
mitogen	mitogen	NN	I-NP	I-protein	
.	.	.	O	O	
To	To	TO	B-VP	O	
explore	explore	VB	I-VP	O	
the	the	DT	B-NP	O	
possibility	possibility	NN	I-NP	O	
that	that	IN	B-SBAR	O	
endothelin	endothelin	NN	B-NP	B-protein	Mention 17	
isoforms	isoform	NNS	I-NP	I-protein	
might	might	MD	B-VP	O	
function	function	VB	I-VP	O	
not	not	RB	B-CONJP	O	
only	only	RB	I-CONJP	O	
as	as	IN	B-PP	O	
autocrine	autocrine	JJ	B-NP	B-protein	
regulators	regulator	NNS	I-NP	I-protein	
but	but	CC	B-CONJP	O	
also	also	RB	I-CONJP	O	
as	as	IN	B-PP	O	
paracrine	paracrine	JJ	B-NP	B-protein	
mitogens	mitogen	NNS	I-NP	I-protein	
in	in	IN	B-PP	O	
ovarian	ovarian	JJ	B-NP	O	
cancers	cancer	NNS	I-NP	O	
,	,	,	O	O	
we	we	PRP	B-NP	O	
investigated	investigate	VBD	B-VP	O	
their	their	PRP$	B-NP	O	Mention 18	
effects	effect	NNS	I-NP	O	
on	on	IN	B-PP	O	
the	the	DT	B-NP	O	
growth	growth	NN	I-NP	O	
of	of	IN	B-PP	O	
ovarian	ovarian	JJ	B-NP	B-cell_type	
fibroblasts	fibroblast	NNS	I-NP	I-cell_type	
derived	derive	VBN	B-VP	O	
from	from	IN	B-PP	O	
ovarian	ovarian	JJ	B-NP	O	
carcinomas	carcinoma	NNS	I-NP	O	
,	,	,	O	O	
the	the	DT	B-NP	O	
interaction	interaction	NN	I-NP	O	
between	between	IN	B-PP	O	
ovarian	ovarian	JJ	B-NP	O	
carcinoma	carcinoma	NN	I-NP	O	
and	and	CC	I-NP	O	
fibroblast	fibroblast	NN	I-NP	B-cell_type	
cells	cell	NNS	I-NP	I-cell_type	
and	and	CC	O	O	
the	the	DT	B-NP	O	
location	location	NN	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
isoform	isoform	NN	I-NP	B-protein	
expression	expression	NN	I-NP	O	
in	in	IN	B-PP	O	
primary	primary	JJ	B-NP	B-cell_type	
ovarian	ovarian	JJ	I-NP	I-cell_type	
tumours	tumour	NNS	I-NP	I-cell_type	
.	.	.	O	O	
ET-1	ET-1	NN	B-NP	B-protein	
,	,	,	I-NP	O	
ET-2	ET-2	NN	I-NP	B-protein	
and	and	CC	I-NP	O	
ET-3	ET-3	NN	I-NP	B-protein	
stimulated	stimulate	VBD	B-VP	O	
the	the	DT	B-NP	O	
growth	growth	NN	I-NP	O	
of	of	IN	B-PP	O	
three	three	CD	B-NP	O	
ovarian	ovarian	JJ	I-NP	B-cell_line	
fibroblast	fibroblast	NN	I-NP	I-cell_line	
cell	cell	NN	I-NP	I-cell_line	
lines	line	NNS	I-NP	I-cell_line	
at	at	IN	B-PP	O	
concentrations	concentration	NNS	B-NP	O	
ranging	range	VBG	B-VP	O	
from	from	IN	B-PP	O	
10	10	CD	B-NP	O	
(	(	(	O	O	
-12	-12	CD	B-NP	O	
)	)	)	O	O	
M	M	NN	B-NP	O	
to	to	TO	B-PP	O	
10	10	CD	B-NP	O	
(	(	(	O	O	
-7	-7	CD	B-NP	O	
)	)	)	O	O	
M	M	NN	B-NP	O	
.	.	.	O	O	
Inhibition	Inhibition	NN	B-NP	O	
of	of	IN	B-PP	O	
125I-ET	125I-ET	NN	B-NP	O	Mention 19	
binding	binding	NN	I-NP	O	
by	by	IN	B-PP	O	
the	the	DT	B-NP	O	
ETA	ETA	NN	I-NP	B-protein	Mention 20	Mention 21	
receptor	receptor	NN	I-NP	I-protein	
antagonist	antagonist	NN	I-NP	O	
BQ123	BQ123	NN	I-NP	O	
and	and	CC	O	O	
the	the	DT	B-NP	O	
ETB	ETB	NN	I-NP	B-protein	Mention 22	Mention 23	
receptor	receptor	NN	I-NP	I-protein	
antagonist	antagonist	NN	I-NP	O	
BQ788	BQ788	NN	I-NP	O	
suggested	suggest	VBD	B-VP	O	
the	the	DT	B-NP	O	
presence	presence	NN	I-NP	O	
of	of	IN	B-PP	O	
both	both	DT	B-NP	O	
types	type	NNS	I-NP	O	
of	of	IN	B-PP	O	
ET	ET	NN	B-NP	B-protein	
receptors	receptor	NNS	I-NP	I-protein	
in	in	IN	B-PP	O	
fibroblast	fibroblast	NN	B-NP	B-cell_type	
cells	cell	NNS	I-NP	I-cell_type	
.	.	.	O	O	
In	In	IN	B-PP	O	
the	the	DT	B-NP	O	
absence	absence	NN	I-NP	O	
of	of	IN	B-PP	O	
ET-1	ET-1	NN	B-NP	B-protein	
,	,	,	O	O	
neither	neither	CC	O	O	
BQ	BQ	NN	B-NP	O	Mention 24	
123	123	CD	I-NP	O	
nor	nor	CC	O	O	
BQ	BQ	NN	B-NP	O	Mention 25	
788	788	CD	I-NP	O	
inhibited	inhibit	VBD	B-VP	O	
growth	growth	NN	B-NP	O	Mention 26	
.	.	.	O	O	
However	However	RB	B-ADVP	O	
,	,	,	O	O	
both	both	DT	B-NP	O	Mention 27	
antagonists	antagonist	NNS	I-NP	O	
inhibited	inhibit	VBD	B-VP	O	
ET-1	ET-1	NN	B-NP	B-protein	Mention 28	
stimulated	stimulate	VBN	I-NP	O	
growth	growth	NN	I-NP	O	
suggesting	suggest	VBG	B-VP	O	
the	the	DT	B-NP	O	
involvement	involvement	NN	I-NP	O	
of	of	IN	B-PP	O	
both	both	DT	B-NP	O	Mention 29	
receptor	receptor	NN	I-NP	O	
types	type	NNS	I-NP	O	
in	in	IN	B-PP	O	
ET-1	ET-1	NN	B-NP	O	
growth	growth	NN	I-NP	O	
regulation	regulation	NN	I-NP	O	
.	.	.	O	O	
In	In	IN	B-PP	O	
contrast	contrast	NN	B-NP	O	
to	to	TO	B-PP	O	
carcinoma	carcinoma	NN	B-NP	B-cell_type	
cells	cell	NNS	I-NP	I-cell_type	
which	which	WDT	B-NP	O	
secrete	secrete	VBP	B-VP	O	
measurable	measurable	JJ	B-NP	O	
levels	level	NNS	I-NP	O	
of	of	IN	B-PP	O	
ET-1	ET-1	NN	B-NP	B-protein	
,	,	,	O	O	
fibroblast	fibroblast	NN	B-NP	B-cell_line	
cell	cell	NN	I-NP	I-cell_line	
lines	line	NNS	I-NP	I-cell_line	
did	do	VBD	B-VP	O	
not	not	RB	I-VP	O	
secrete	secrete	VB	I-VP	O	
detectable	detectable	JJ	B-NP	O	
protein	protein	NN	I-NP	O	
.	.	.	O	O	
Co-culture	Co-culture	NN	B-NP	O	
experiments	experiment	NNS	I-NP	O	
(	(	(	O	O	
using	use	VBG	B-VP	O	
porous	porous	JJ	B-NP	O	
membrane	membrane	NN	I-NP	O	
insert	insert	NN	I-NP	O	
wells	well	NNS	I-NP	O	
)	)	)	O	O	
of	of	IN	B-PP	O	
fibroblasts	fibroblast	NNS	B-NP	B-cell_type	Mention 30	
with	with	IN	B-PP	O	
carcinoma	carcinoma	NN	B-NP	B-cell_type	Mention 31	
cells	cell	NNS	I-NP	I-cell_type	
demonstrated	demonstrate	VBD	B-VP	O	
that	that	IN	B-SBAR	O	
growth	growth	NN	B-NP	O	
of	of	IN	B-PP	O	
both	both	DT	B-NP	O	Mention 32	
populations	population	NNS	I-NP	O	
of	of	IN	B-PP	O	
cells	cell	NNS	B-NP	O	
was	be	VBD	B-VP	O	
increased	increase	VBN	I-VP	O	
compared	compare	VBN	B-PP	O	
with	with	IN	B-PP	O	
either	either	CC	O	O	Mention 33	
grown	grow	VBN	B-VP	O	
in	in	IN	B-PP	O	
isolation	isolation	NN	B-NP	O	
.	.	.	O	O	
In	In	IN	B-PP	O	
this	this	DT	B-NP	O	
system	system	NN	I-NP	O	
,	,	,	O	O	
growth	growth	NN	B-NP	O	Mention 34	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
fibroblast	fibroblast	NN	I-NP	B-cell_line	
cell	cell	NN	I-NP	I-cell_line	
line	line	NN	I-NP	I-cell_line	
was	be	VBD	B-VP	O	
partially	partially	RB	I-VP	O	
inhibited	inhibit	VBN	I-VP	O	
by	by	IN	B-PP	O	
both	both	CC	O	O	
BQ123	BQ123	NN	B-NP	B-cell_line	Mention 35	
and	and	CC	I-NP	O	
BQ788	BQ788	NN	I-NP	O	Mention 36	
,	,	,	O	O	
whilst	whilst	IN	B-PP	O	
growth	growth	NN	B-NP	O	Mention 37	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
PE014	PE014	NN	I-NP	B-cell_line	
carcinoma	carcinoma	NN	I-NP	I-cell_line	
cell	cell	NN	I-NP	I-cell_line	
line	line	NN	I-NP	I-cell_line	
was	be	VBD	B-VP	O	
inhibited	inhibit	VBN	I-VP	O	
by	by	IN	B-PP	O	
only	only	RB	B-NP	O	
BQ123	BQ123	NN	I-NP	O	Mention 38	
.	.	.	O	O	
RT-PCR	RT-PCR	NN	B-NP	O	
measurements	measurement	NNS	I-NP	O	
detected	detect	VBD	B-VP	O	
the	the	DT	B-NP	O	
presence	presence	NN	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
ETA	ETA	NN	I-NP	B-protein	
receptor	receptor	NN	I-NP	I-protein	
subtype	subtype	NN	I-NP	O	
in	in	IN	B-PP	O	
10/10	10/10	CD	B-NP	O	
primary	primary	JJ	I-NP	O	
ovarian	ovarian	JJ	I-NP	O	
cancers	cancer	NNS	I-NP	O	
but	but	CC	O	O	
the	the	DT	B-NP	O	
presence	presence	NN	I-NP	O	
of	of	IN	B-PP	O	
ETB	ETB	NN	B-NP	B-protein	
receptor	receptor	NN	I-NP	I-protein	
in	in	IN	B-PP	O	
only	only	RB	B-NP	O	
6/10	6/10	CD	I-NP	O	
cancers	cancer	NNS	I-NP	O	
.	.	.	O	O	
Using	Use	VBG	B-VP	O	
specific	specific	JJ	B-NP	B-protein	
antibodies	antibody	NNS	I-NP	I-protein	
,	,	,	O	O	
ET-1	ET-1	NN	B-NP	B-protein	
was	be	VBD	B-VP	O	
found	find	VBN	I-VP	O	
in	in	IN	B-PP	O	
11/15	11/15	CD	B-NP	O	
,	,	,	O	O	
ET-2	ET-2	NN	B-NP	B-protein	
in	in	IN	B-PP	O	
5	5	CD	B-NP	O	
of	of	IN	B-PP	O	
7	7	CD	B-NP	O	
and	and	CC	O	O	
ET-3	ET-3	NN	B-NP	B-protein	
in	in	IN	B-PP	O	
5/7	5/7	CD	B-NP	O	
primary	primary	JJ	I-NP	O	
ovarian	ovarian	JJ	I-NP	O	
cancers	cancer	NNS	I-NP	O	
predominantly	predominantly	RB	B-ADVP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
epithelial	epithelial	JJ	I-NP	B-cell_type	
cells	cell	NNS	I-NP	I-cell_type	
but	but	CC	B-PP	O	
with	with	IN	B-PP	O	
some	some	DT	B-NP	O	
stromal	stromal	JJ	I-NP	O	
expression	expression	NN	I-NP	O	
.	.	.	O	O	
These	These	DT	B-NP	O	
data	datum	NNS	I-NP	O	
indicate	indicate	VBP	B-VP	O	
that	that	IN	B-SBAR	O	
the	the	DT	B-NP	O	
ET	ET	NN	I-NP	B-protein	
isoforms	isoform	NNS	I-NP	I-protein	
may	may	MD	B-VP	O	
stimulate	stimulate	VB	I-VP	O	
growth	growth	NN	B-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
fibroblast	fibroblast	NN	I-NP	O	
population	population	NN	I-NP	O	
within	within	IN	B-PP	O	
an	an	DT	B-NP	O	
ovarian	ovarian	JJ	I-NP	O	
cancer	cancer	NN	I-NP	O	
in	in	IN	B-PP	O	
addition	addition	NN	B-NP	O	
to	to	TO	B-PP	O	
stimulating	stimulate	VBG	B-VP	O	
the	the	DT	B-NP	O	
epithelial	epithelial	JJ	I-NP	B-cell_type	
cells	cell	NNS	I-NP	I-cell_type	
and	and	CC	O	O	
since	since	IN	B-SBAR	O	
the	the	DT	B-NP	O	
ETs	ET	NNS	I-NP	B-DNA	
are	be	VBP	B-VP	O	
expressed	express	VBN	I-VP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
majority	majority	NN	I-NP	O	
of	of	IN	B-PP	O	
ovarian	ovarian	JJ	B-NP	O	
cancers	cancer	NNS	I-NP	O	
,	,	,	O	O	
this	this	DT	B-NP	O	
paracrine	paracrine	JJ	I-NP	O	
effect	effect	NN	I-NP	O	
may	may	MD	B-VP	O	
contribute	contribute	VB	I-VP	O	
to	to	TO	B-PP	O	
the	the	DT	B-NP	O	
overall	overall	JJ	I-NP	O	
growth	growth	NN	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
tumour	tumour	NN	I-NP	O	
.	.	.	O	O	
To	To	TO	B-VP	O	
clarify	clarify	VB	I-VP	O	
the	the	DT	B-NP	O	
mechanism	mechanism	NN	I-NP	O	
for	for	IN	B-PP	O	
the	the	DT	B-NP	O	
endothelin-1	endothelin-1	NN	I-NP	B-protein	
(	(	(	O	O	
ET-1	ET-1	NN	B-NP	B-protein	
)	)	)	O	O	
-induced	-induced	JJ	B-NP	O	
release	release	NN	I-NP	O	
of	of	IN	B-PP	O	
catecholamines	catecholamine	NNS	B-NP	O	
from	from	IN	B-PP	O	
the	the	DT	B-NP	O	
adrenal	adrenal	JJ	I-NP	O	
gland	gland	NN	I-NP	O	
,	,	,	O	O	
we	we	PRP	B-NP	O	
examined	examine	VBD	B-VP	O	
the	the	DT	B-NP	O	
effects	effect	NNS	I-NP	O	
of	of	IN	B-PP	O	
removal	removal	NN	B-NP	O	
of	of	IN	B-PP	O	
extracellular	extracellular	JJ	B-NP	O	
Ca2+	Ca2+	NN	I-NP	O	
,	,	,	O	O	
blockers	blocker	NNS	B-NP	O	
of	of	IN	B-PP	O	
L-	L-	NN	B-NP	O	
,	,	,	I-NP	O	
N-	N-	NN	I-NP	O	
,	,	,	I-NP	O	
P-	P-	NN	I-NP	O	
and	and	CC	I-NP	O	
Q-types	Q-type	NNS	I-NP	O	
of	of	IN	B-PP	O	
voltage-operated	voltage-operated	JJ	B-NP	B-protein	
Ca2+	Ca2+	NN	I-NP	I-protein	
channels	channel	NNS	I-NP	I-protein	
(	(	(	O	O	
VOCC	VOCC	NN	B-NP	O	
)	)	)	O	O	
such	such	JJ	B-PP	O	
as	as	IN	I-PP	O	
nifedipine	nifedipine	NN	B-NP	O	
(	(	(	O	O	
L-type	L-type	NN	B-NP	O	
)	)	)	O	O	
,	,	,	O	O	
omega-conotoxin	omega-conotoxin	NN	B-NP	O	
GVIA	GVIA	NN	I-NP	O	
(	(	(	O	O	
N-type	N-type	NN	B-NP	O	
)	)	)	O	O	
,	,	,	O	O	
omega-agatoxin	omega-agatoxin	NN	B-NP	O	
IVA	IVA	NN	I-NP	O	
(	(	(	O	O	
P-type	P-type	NN	B-NP	O	
)	)	)	O	O	
and	and	CC	O	O	
omega-conotoxin	omega-conotoxin	NN	B-NP	O	
MVIIC	MVIIC	NN	I-NP	O	
(	(	(	O	O	
Q-type	Q-type	JJ	B-ADJP	O	
)	)	)	O	O	
and	and	CC	O	O	
blockers	blocker	NNS	B-NP	O	
of	of	IN	B-PP	O	
voltage-independent	voltage-independent	JJ	B-NP	B-protein	
Ca2+	Ca2+	NN	I-NP	I-protein	
entry	entry	NN	I-NP	I-protein	
channel	channel	NN	I-NP	I-protein	
such	such	JJ	B-PP	O	
as	as	IN	I-PP	O	
SKF	SKF	NN	B-NP	O	
96365	96365	CD	I-NP	O	
and	and	CC	O	O	
LOE	LOE	NN	B-NP	O	
908	908	CD	I-NP	O	
on	on	IN	B-PP	O	
release	release	NN	B-NP	O	
of	of	IN	B-PP	O	
catecholamines	catecholamine	NNS	B-NP	O	
,	,	,	O	O	
the	the	DT	B-NP	O	
cytosolic	cytosolic	JJ	I-NP	O	
free	free	JJ	I-NP	O	
Ca2+	Ca2+	NN	I-NP	O	
concentration	concentration	NN	I-NP	O	
(	(	(	O	O	
[	[	(	O	O	
Ca2+	Ca2+	NN	B-NP	O	
]	]	)	I-NP	O	
i	i	NN	I-NP	O	
)	)	)	O	O	
,	,	,	O	O	
and	and	CC	O	O	
45Ca2+	45Ca2+	NN	B-NP	O	
uptake	uptake	NN	I-NP	O	
in	in	IN	B-PP	O	
cultured	culture	VBN	B-NP	B-cell_line	
bovine	bovine	JJ	I-NP	I-cell_line	
adrenal	adrenal	JJ	I-NP	I-cell_line	
chromaffin	chromaffin	NN	I-NP	I-cell_line	
cells	cell	NNS	I-NP	I-cell_line	
.	.	.	O	O	
ET-1	ET-1	NN	B-NP	B-protein	
but	but	CC	B-NP	O	
not	not	RB	I-NP	O	
ET-3	ET-3	NN	B-NP	B-protein	
induced	induce	VBD	B-VP	O	
increases	increase	NNS	B-NP	O	Mention 39	
in	in	IN	B-PP	O	
release	release	NN	B-NP	O	
of	of	IN	B-PP	O	
catecholamines	catecholamine	NNS	B-NP	O	
,	,	,	O	O	
[	[	(	O	O	
Ca2+	Ca2+	NN	B-NP	O	
]	]	)	I-NP	O	
i	i	NN	I-NP	O	
,	,	,	O	O	
and	and	CC	O	O	
45Ca2+	45Ca2+	NN	B-NP	O	
uptake	uptake	NN	I-NP	O	
.	.	.	O	O	
The	The	DT	B-NP	O	
responses	response	NNS	I-NP	O	
to	to	TO	B-PP	O	
ET-1	ET-1	NN	B-NP	B-protein	
were	be	VBD	B-VP	O	
abolished	abolish	VBN	I-VP	O	
by	by	IN	B-PP	O	
the	the	DT	B-NP	O	
antagonist	antagonist	NN	I-NP	O	
for	for	IN	B-PP	O	
ET	ET	NN	B-NP	B-protein	
(	(	(	O	I-protein	
A	A	NN	B-NP	I-protein	
)	)	)	O	I-protein	
receptors	receptor	NNS	B-NP	I-protein	
,	,	,	O	O	
BQ-123	BQ-123	NN	B-NP	B-protein	
,	,	,	O	O	
