Mention no.	E/A	Entity No.	Antecedent No.	Text
Mention 219	E	20	-	HD_m219
Mention 220	E	21	-	lateral mammillary nucleus_m220
Mention 221	E	22	-	LMN_m221
Mention 222	E	23	-	anterior thalamus_m222
Mention 223	E	24	-	ATN_m223
Mention 224	E	15	-	HD cells_m224
Mention 225	E	17	-	their directional firing properties_m225
Mention 226	E	16	-	their_m226
Mention 226	A	16	15	their_m226
Mention 227	E	18	-	them_m227
Mention 227	A	18	17	them_m227
Mention 228	E	25	-	Fas _m228
Mention 229	E	26	-	CD95_m229
Mention 230	E	27	-	Fas ligand_m230
Mention 231	E	28	-	FasL_m231
Mention 232	E	29	-	staphylococcal enterotoxin B_m232
Mention 233	E	30	-	SEB_m233
Mention 234	E	19	-	upregulation of FasL_m234
Mention 235	E	20	-	This effect_m235
Mention 235	A	20	19	This effect_m235
Mention 236	E	21	-	FasL_m236
Mention 237	E	22	-	which_m237
Mention 237	A	22	21	which_m237
Mention 238	E	35	-	T cell antigen receptor_m238
Mention 239	E	36	-	TCR_m239
Mention 240	E	23	-	SLP-76 linker protein_m240
Mention 241	E	25	-	nck_m241
Mention 242	E	24	-	adaptor protein_m242
Mention 243	E	27	-	Vav_m243
Mention 244	E	26	-	guanine nucleotide exchange factor for Rho-family GTPases_m244
Mention 245	E	28	-	this tri-molecular complex_m245
Mention 245	A	28	23	this tri-molecular complex_m245
Mention 245	A	28	25	this tri-molecular complex_m245
Mention 245	A	28	27	this tri-molecular complex_m245
Mention 246	E	30	-	topographically fixed glomeruli in the olfactory bulb_m246
Mention 247	E	31	-	this topographic map_m247
Mention 247	A	31	30	this topographic map_m247
Mention 248	E	47	-	CREB _m248
Mention 249	E	48	-	adenosine 3^, 5'-monophosphate response element binding protein_m249
Mention 250	E	32	-	rat nucleus accumbens_m250
Mention 251	E	33	-	a brain region that is important for addiction_m251
Mention 252	E	34	-	this region_m252
Mention 252	A	34	33	this region_m252
Mention 253	E	35	-	blockade of kappa opioid receptors_m253
Mention 254	E	36	-	which_m254
Mention 254	A	36	35	which_m254
Mention 255	E	49	-	Wingless _m255
Mention 256	E	50	-	Wg_m256
Mention 257	E	51	-	Decapentaplegic _m257
Mention 258	E	52	-	Dpp_m258
Mention 259	E	53	-	receptor tyrosine kinases_m259
Mention 260	E	54	-	RTKs_m260
Mention 261	E	55	-	Drosophila epidermal growth factor receptor_m261
Mention 262	E	56	-	DER_m262
Mention 263	E	57	-	Heartless _m263
Mention 264	E	58	-	Htl_m264
Mention 265	E	59	-	mitogen-associated protein kinase_m265
Mention 266	E	60	-	MAPK_m266
Mention 267	E	37	-	these RTKs_m267
Mention 267	A	37	54	these RTKs_m267
Mention 268	E	39	-	ACTH/MSH peptides_m268
Mention 269	E	61	-	melanocortin-5 receptor_m269
Mention 270	E	62	-	MC5-R_m270
Mention 271	E	40	-	these peptides_m271
Mention 271	A	40	39	these peptides_m271
Mention 272	E	41	-	class III semaphorins_m272
Mention 273	E	42	-	Sema III, Sema E, and Sema IV_m273
Mention 274	E	43	-	these semaphorins_m274
Mention 274	A	43	42	these semaphorins_m274
Mention 275	E	44	-	sympathetic axons_m275
Mention 276	E	46	-	their responses_m276
Mention 277	E	45	-	their_m277
Mention 277	A	45	44	their_m277
Mention 278	E	67	-	MAM _m278
Mention 279	E	68	-	meprin, A5, mu_m279
Mention 280	E	69	-	long-term potentiation_m280
Mention 281	E	70	-	LTP_m281
Mention 282	E	71	-	long-term depression_m282
Mention 283	E	72	-	LTD_m283
Mention 284	E	47	-	RARbeta deficiency in mice_m284
Mention 285	E	48	-	It_m285
Mention 285	A	48	47	It_m285
Mention 286	E	49	-	retinoid receptors_m286
Mention 287	E	50	-	they_m287
Mention 287	A	50	49	they_m287
Mention 288	E	51	-	transgenic mice_m288
Mention 289	E	73	-	prion protein_m289
Mention 290	E	74	-	PrP_m290
Mention 291	E	52	-	transgenic mice_m291
Mention 292	E	53	-	These mice_m292
Mention 292	A	53	52	These mice_m292
Mention 293	E	54	-	these mice_m293
Mention 293	A	54	53	these mice_m293
Mention 294	E	75	-	PrP(Sc)_m294
Mention 295	E	76	-	pathogenic isoform of PrP_m295
Mention 296	E	56	-	Vnd_m296
Mention 297	E	55	-	a NK-2 homeodomain protein_m297
Mention 298	E	57	-	Vnd_m298
Mention 299	E	59	-	its action_m299
Mention 300	E	58	-	its_m300
Mention 301	E	77	-	Germ-line stem cells_m301
Mention 302	E	78	-	GSCs_m302
Mention 303	E	60	-	Drosophila piwi gene_m303
Mention 304	E	61	-	it_m304
Mention 304	A	61	60	it_m304
Mention 305	E	63	-	nmd mouse mutation_m305
Mention 306	E	64	-	the mutated gene_m306
Mention 306	A	64	63	the mutated gene_m306
Mention 307	E	79	-	transcriptional activator and ATPase/DNA helicase_m307
Mention 308	E	80	-	Smbp2, Rip1, Gf1, or Catf1_m308
Mention 309	E	65	-	this gene_m309
Mention 309	A	65	64	this gene_m309
Mention 310	E	81	-	chromosome _m310
Mention 311	E	82	-	Chr_m311
Mention 312	E	66	-	chromatin boundary elements_m312
Mention 313	E	67	-	Boundary elements_m313
Mention 313	A	67	66	Boundary elements_m313
Mention 314	E	72	-	their_m314
Mention 314	A	72	71	their_m314
Mention 315	E	71	-	examples_m315
Mention 315	A	71	67	examples_m315
Mention 316	E	69	-	polytene chromosome interband loci_m316
Mention 317	E	70	-	these sites_m317
Mention 317	A	70	69	these sites_m317
Mention 318	E	83	-	candidate boundary elements_m318
Mention 319	E	84	-	cBEs_m319
